"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Likes,Shares,Plays,Comments,Saves,Impressions,Reach,Follows
18024456086077912,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Meet Damian’s AMAZING 7 month old husky mix named Jack! Already he is addicted to ice cubes and squeaky toys! He is adventurous, brave, and loves meeting other dogs on Canine Crew walks! 

NEXT EVENTS: 🎉🐕‍🦺
Thursday 5-6:30pm sunset play date walk with @hshrigz 
- Bring your pups favourite toys! 

Sunday social event cruise 10am - Midday sharing laughs, socialising our dogs, & making new friends! 

Meet Locations: PG6 Halfmoon cafe:) 

Thanks for all the support! ❤️",0,"04/03/2024 16:28",https://www.instagram.com/p/C5UVkrfO23r/,"IG carousel",,Lifetime,59,4,,3,0,455,350,1
18113783620368926,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Our Thursday sunset play date was a blast! 

NEXT WALK: 
@healthyhearts.fiu x @fiucaninecrew
Sunday social! 
10am - 12 at PG6 Halfmoon cafe! 

Wear red to promote healthy cardiovascular health! 🫀🏩

RSVP in the bio! 

@healthyhearts.fiu 
Big thanks to @hshrigz 

Have an awesome day! ❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",30,"04/05/2024 11:02",https://www.instagram.com/reel/C5Y43MnuR8U/,"IG reel",,Lifetime,21,1,640,4,0,470,409,
18023265575089746,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Walk number 8 is in the bag! ✅

We all had a superb time meeting the @healthyhearts.fiu crew and a bunch of new members!

Share the reel in your story so we can help other doggies and owners live their best life! 

Let your dog meet their new best friend at our next walk! 

Thurs Sunset Soirée 5-6:30pm capturing the golden hours!
(Bring your pups fav toys) 

Sunday social stroll 10-11:30am

Both location start: MMC PG6 Halfmoon Cafe 

RSVP in the bio:) 

Thanks for coming along and spreading the love! 

❤️🐶

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",25,"04/09/2024 14:19",https://www.instagram.com/reel/C5jhzYrum3L/,"IG reel",,Lifetime,31,6,2434,4,1,2164,1815,1
17872293933075896,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Bringing peace, happiness, and love to the world one happy face at a time! 

We are proud of our first collab with @healthyhearts.fiu as it perfectly aligns with what we are achieving! Creating a healthier life for our members and pups! 

Want to collab? 📸
DM us! 

Come along to our next cruise: 🚶‍♀️🐶
Thurs 5-6:30pm golden hour gander with @hshrigz 

Sunday socials 10-11:30am with @noah.pilkington 

Start Location: MMC PG6 Halfmoon cafe 

Big lovin ❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"04/10/2024 06:00",https://www.instagram.com/p/C5lPRDXuwfb/,"IG image",,Lifetime,84,6,,4,1,720,591,3
18233208610267785,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Meet Stanley and Puck!

Stanley is known for being beautiful, a poser and in his sweet mums words, “The laziest boy you’ll ever meet!” 💤
Finally we have Stans big brother, Puck (seen here in his teenage dirtbag phase.) He is a total dude and will do anything for pizza! 🍕
@aliyashanes 

🚨TODAY 🚨
We have our golden hours gander with @hshrigz  5-6:30pm 🌞
- Get some beautiful selfies of you and your pup, meet the gang & wind down for the day:)

Sunday socials stroll 10-11:30am 
- Start your day off right, let your pup run free, & meet amazing people! 

Meet at: PG6 Halfmoon cafe 

RSVP in bio:) 

❤️🐕❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"04/11/2024 06:00",https://www.instagram.com/p/C5n0Fp-uLbh/,"IG carousel",,Lifetime,45,4,,1,0,393,279,
18284381734167357,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","We are proud to announce our next Sunday social walk will be shared with @fiu.outdoors ! 🏕️

We love nature and the peace it can bring upon you and your pup. Let’s experience those feelings together with our amazing friends as we wonder and ponder through the beautiful landscapes of our scenic campus! 🌴🌳☮️

RSVP in the bio:) 🙏

Big thank you to @gianna.guzmann for the beautiful graphic
@noah.pilkington 
@ninamontero_ 

❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"04/12/2024 11:38",https://www.instagram.com/p/C5q_hbdOphr/,"IG image",,Lifetime,29,6,,0,7,1143,892,7
18058029751561476,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","We are proud to collab with FIU’s finest clubs with the goal of raising money for Baptist Health Cancer Research Fund! 

Get your running shoes on and let’s get after it, have a laugh, and support those in need! 

If you aren’t a runner, come hoot n holler from the sidelines! We love the energy! 

Rsvp in the bio:)

Next Canine Crew event: 

Thurs 5-6:30pm
Sunset play date with @hshrigz ( The last one before ending this date for summer!) 

Sun 10-11:30am
Sunday social! (10th walk anniversary!)

Canine crew event location: 
PG6 Halfmoon cafe

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"04/17/2024 09:30",https://www.instagram.com/p/C53o8CYupKi/,"IG image",,Lifetime,41,5,,3,2,1219,1016,
18032947543777695,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Last Sundays collab with @fiu.outdoors was so fun! 

We got outdoors, burned calories, and created new relationships, it’s such a great way to end a beautiful week! 

Thank you to all those that came! 

Share with your friends so we can bring joy to more:)

Next events!
Thursday (Today) play date with @hshrigz @ 5-6:30pm PG6 Halfmoon 🦴🧸

Saturday Charity run @ 10am WRC🏃🏃‍♀️

Sunday social @ 10-11:30 am PG6 Halfmoon cafe🥰😀

❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",25,"04/18/2024 06:00",https://www.instagram.com/reel/C551o-5uOy_/,"IG reel",,Lifetime,36,8,1135,9,2,766,595,
18005925719232923,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","As the semester almost closes come and blow off some steam with your pup and friends on our Sunday Social walk! 

Bring a smile, laughs, and plenty of your dogs favourite toys! 

We will cruise around new spots on campus, relax in an shady field, and let the sun bless us! 
👌
Rsvp in bio:)

❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"04/20/2024 05:30",https://www.instagram.com/p/C5-7yQGOeos/,"IG image",,Lifetime,24,6,,0,1,314,256,
17960436662744529,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","🐾NEW WALK!🐾
Join Sarah, Lady, and the rest of the gang on a deep relaxation walk to blow off all the stress from finals! 🐩

Nothing beats being outdoors, soaking in the sunset hour sun with new friends and giving yourself and pup what you deserve!! 🌞🌄🌇

Rsvp in bio:)

End of semester party date coming sooooooon! 🎉🥳🍾

Graphic @gianna.guzmann (Thank you!) 

❤️❤️❤️ 

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"04/22/2024 05:22",https://www.instagram.com/p/C6EEfnwuAEc/,"IG image",,Lifetime,15,0,,3,0,239,199,
