"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Likes,Shares,Comments,Saves,Impressions,Reach,Follows,Plays
17967503945678846,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Welcome to FIU's No.1 dog walking and social club! 

What we offer: 
1. Weekly social walks (All are welcome- with or without a dog!) 
2. Mingling with like-minded people! 
3. Gorgeous pups!
4. Fantastic casual exercise!
5. Exploring new places! 

We want to make this an epic club, so if you feel or want to contribute, DM!:)

#DogsofInstagram #PuppyLove #DogsOfIG #DogLovers #InstaDog
#DogLife #DogFriendly #Doggo #Pawfect #WoofWoof #Miami #FIU #floridainternationaluniversity #dogwalking",0,"01/29/2024 16:00",https://www.instagram.com/p/C2tBjt4sTKl/,"IG image",,Lifetime,11,1,2,0,215,197,,
18047227573624959,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Hey everyone, meet Lady Bug!  A 4 year old chocolate Labrador who has been supporting our club from the start with her brilliant and kind mother @salty.sarah.13 

This lady gets around… 
Lady has swam in both the FIU fountain and the Kissing bridge Lake! 🌊

Aligned with her mums career goals of becoming a marine biologist, Lady also loves 
her hammerhead shark toy named sharky! 

Big love to them both!",0,"03/30/2024 07:00",https://www.instagram.com/p/C5JBXtlO5Is/,"IG carousel",,Lifetime,66,1,7,0,398,290,,
17842747491194058,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Hop into springtime by stretching your legs, breathing some fresh air, having a laugh and letting your dog make some friends! 🐣

RSVP in bio:) 📝

You don’t need a dog to come along and make some friends! We have plenty of folks that are dog-less and just want to meet high quality people! 

We ❤️ you all",0,"03/29/2024 06:00",https://www.instagram.com/p/C5GVzZyOwlo/,"IG image",,Lifetime,18,4,2,0,269,211,,
17911276922833400,17841460065533492,healthyhearts.fiu,,"Healthy Hearts is so excited to collaborate with @fiucaninecrew on an upcoming puppy walk! 🦮 Get your heart pumping by bringing your dog for a walk around FIU’s MMC campus. 🫀Dog or not, everyone is welcome to participate. Make sure to bring plenty of water  and sunscreen. Cant wait to see you and your pups there! ☀️

*RSVP through Canine Crew’s link in bio!!",0,"03/28/2024 08:06",https://www.instagram.com/p/C5D_a3IugPF/,"IG image",,Lifetime,43,6,3,0,,,,
17893418870993311,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Golden hour sun-rays hit different!! 

Hannah and Paco are a fun loving, chill, and outgoing duo! 

Bring yourself and friends on their exclusive sunset cruise as they soak in the warm light and relaxing atmosphere 🌅

RSVP in the bio:) 
@hshrigz 

Share with your friends! 
Fill out the links in the bio to tell us the best times you can walk! 

We ❤️ u 

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"03/26/2024 14:43",https://www.instagram.com/p/C4_jOiiOc_e/,"IG image",,Lifetime,32,2,1,0,712,569,,
18023539082306459,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","We’re on a mission to further spread the joy of wagging tails and happy humans, but we need YOUR help to grow our pack. 📈

If you are fun, casual, love to learn, and enjoy rewarding experiences, we have a position for you!!!

Swipe right for more info and let’s unleash the fun together!! 

We love you guys! ❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",0,"03/26/2024 06:00",https://www.instagram.com/p/C4-naP3O_hZ/,"IG carousel",,Lifetime,48,4,1,6,736,397,,
18078880273414269,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","A beautiful Sunday morning well spent making new friends, sharing laughs, and playing with amazing dogs! 
That’s just a typical @fiucaninecrew walk for us! 

NEXT WALKS: 
Thurs March 28th 5-7pm with @hshrigz at PG6 Halfmoon cafe.

Sunday March 31st 10am-Midday with @noah.pilkington (Same location) 

TO DO: 
1. RSVP in the bio:) 
2. Fill out the “Best Time” form so we can lead more walks that suit your schedule! 
3. Spread the joy by sharing our reel:) 

Grateful for you all!",32,"03/25/2024 14:02",https://www.instagram.com/reel/C483u7MuMvk/,"IG reel",,Lifetime,48,9,10,2,1505,1185,2,1823
18261361957235514,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","YOU GUYS ALREADY KNOW WHATS UP! 

In celebration of National puppy day let’s go for our casual cruise meeting some new and exciting friends! Not to mention the amazing and adorable dogs! 

Give your furry friend what they deserve! An active and thriving social life! They absolutely love it! 

RSVP in the bio:) 

Love you all!

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily  #dogs #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship #financialfreedomstartshere #positivemindset",0,"03/23/2024 08:50",https://www.instagram.com/p/C43Mei1OXP5/,"IG image",,Lifetime,32,6,2,2,329,276,,
18000008351288441,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","Shamrockin and rolling with our St Paddy lucky charms last week was so much fun, relaxing, and enjoyable meeting friends! ☘️

Next walk: Sunday 10 am PG6 Halfmoon cafe! 

We can’t wait to see our regulars and all the new supporters! The excitement is infectious! 

Dog or no dog, come along and meet some amazing people! 🐕

Your puppy will love you so much for the essential socialising you will give them:) 🐶❤️

#MiamiLife #305Vibes #MIA #MiamiNights #miami #dogsofinsta #miamidogs #dogsitting
#DogsofMiami #PawsomePups #DogLife #MiamiDogs #DogsofFlorida #DogsofIG #PuppyLove #DoggyAdventures #FloridaLife #FIUPanthers #FIUAlumni #PantherPride #FIULife #FIUFamily #FIUCommunity #FIUcreators #fiu #floridainterantionaluniversity #university #pets #hiking #friends",27,"03/22/2024 11:52",https://www.instagram.com/reel/C406iUrO54R/,"IG reel",,Lifetime,27,2,1,0,745,561,2,949
18390054112072276,17841464234704152,caninecrewmiami,"CANINE CREW MIAMI","We are all about promoting positivity so together let’s give love to your favourite puppy! 

Be bodacious, be bold, be brave! 
We love and appreciate you all! 

We have so many cool and unique events coming up soon! 

#social #woof #dogwalking #friends #caninecrew #fiu #floridainternationalunivesity #puppiesofinstagram #dogstagram #doglovers #exerciseroutine #miamievents #luxuryevents #socialimpact #communityfirst #dogs #dogsdaily #meetupwithfriends #university #activewear #activelife #fitnesstips #caninefitness #dogsocialization #healthyliving #entrepreneurship  #freedom #financialfreedomstartshere #selfhelptools",0,"03/20/2024 19:26",https://www.instagram.com/p/C4wm3FUupyo/,"IG carousel",,Lifetime,30,0,1,0,350,255,,
