Permalink,Post type,Likes,Shares,Comments,Saves,Impressions,Reach,Follows,Plays,Quarter,Year,Month,Day,Day of Week,Hour
https://www.instagram.com/p/C2tBjt4sTKl/,IG image,11,1,2,0,215.0,197.0,,,0,2024,1,29,Mon,16
https://www.instagram.com/p/C5JBXtlO5Is/,IG carousel,66,1,7,0,398.0,290.0,,,0,2024,3,30,Sat,7
https://www.instagram.com/p/C5GVzZyOwlo/,IG image,18,4,2,0,269.0,211.0,,,0,2024,3,29,Fri,6
https://www.instagram.com/p/C5D_a3IugPF/,IG image,43,6,3,0,,,,,0,2024,3,28,Thu,8
https://www.instagram.com/p/C4_jOiiOc_e/,IG image,32,2,1,0,712.0,569.0,,,0,2024,3,26,Tue,14
https://www.instagram.com/p/C4-naP3O_hZ/,IG carousel,48,4,1,6,736.0,397.0,,,0,2024,3,26,Tue,6
https://www.instagram.com/reel/C483u7MuMvk/,IG reel,48,9,10,2,1505.0,1185.0,2.0,1823.0,0,2024,3,25,Mon,14
https://www.instagram.com/p/C43Mei1OXP5/,IG image,32,6,2,2,329.0,276.0,,,0,2024,3,23,Sat,8
https://www.instagram.com/reel/C406iUrO54R/,IG reel,27,2,1,0,745.0,561.0,2.0,949.0,0,2024,3,22,Fri,11
https://www.instagram.com/p/C4wm3FUupyo/,IG carousel,30,0,1,0,350.0,255.0,,,0,2024,3,20,Wed,19
https://www.instagram.com/p/C4q7Lx2OOb9/,IG image,50,1,8,1,581.0,451.0,1.0,,0,2024,3,18,Mon,14
https://www.instagram.com/p/C4i4Vpnu93v/,IG image,22,1,3,0,851.0,605.0,,,0,2024,3,15,Fri,11
https://www.instagram.com/p/C4eBd81OmD6/,IG image,50,3,4,1,468.0,363.0,2.0,,0,2024,3,13,Wed,14
https://www.instagram.com/p/C4OXQLCOQ0h/,IG image,32,6,2,1,388.0,298.0,,,0,2024,3,7,Thu,11
https://www.instagram.com/p/C4L4HH8Oe3D/,IG carousel,47,1,3,0,466.0,320.0,,,0,2024,3,6,Wed,12
https://www.instagram.com/p/C4JFtrSO7rX/,IG carousel,60,9,0,1,607.0,418.0,2.0,,0,2024,3,5,Tue,10
